id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
99891,7.5909e+93,2023/03/24 09:14:37,1,fedc20debletest0,,-80.0,3,,1679620567000
99894,7.5909e+93,2023/03/24 09:14:38,1,fedc20debletest0,,-78.0,3,,1679620567000
99898,7.5909e+93,2023/03/24 09:14:39,1,fedc20debletest0,,-66.0,2,,1679620567000
99901,7.5909e+93,2023/03/24 09:14:40,1,fedc20debletest0,,-66.5,2,,1679620567000
99904,7.5909e+93,2023/03/24 09:14:41,1,fedc20debletest0,,-76.0,3,,1679620567000
99909,7.5909e+93,2023/03/24 09:14:42,1,fedc20debletest0,,-74.0,2,,1679620567000
99912,7.5909e+93,2023/03/24 09:14:43,1,fedc20debletest0,,-72.0,2,,1679620567000
99916,7.5909e+93,2023/03/24 09:14:44,1,fedc20debletest0,,-75.0,2,,1679620567000
99920,7.5909e+93,2023/03/24 09:14:45,1,fedc20debletest0,,-79.5,3,,1679620567000
99924,7.5909e+93,2023/03/24 09:14:46,1,fedc20debletest0,,-75.0,2,,1679620567000
99928,7.5909e+93,2023/03/24 09:14:47,1,fedc20debletest0,,-78.0,3,,1679620567000
99932,7.5909e+93,2023/03/24 09:14:48,1,fedc20debletest0,,-80.0,3,,1679620567000
99936,7.5909e+93,2023/03/24 09:14:49,1,fedc20debletest0,,-78.0,3,,1679620567000
99940,7.5909e+93,2023/03/24 09:14:50,1,fedc20debletest0,,-77.0,3,,1679620567000
99892,7.5909e+93,2023/03/24 09:15:18,1,fedc20debletest0,,-76.5,3,,1679620567000
99900,7.5909e+93,2023/03/24 09:15:19,1,fedc20debletest0,,-72.0,2,,1679620567000
99908,7.5909e+93,2023/03/24 09:15:20,1,fedc20debletest0,,-75.0,2,,1679620567000
99914,7.5909e+93,2023/03/24 09:15:21,1,fedc20debletest0,,-75.0,2,,1679620567000
99927,7.5909e+93,2023/03/24 09:15:22,1,fedc20debletest0,,-70.0,2,,1679620567000
99931,7.5909e+93,2023/03/24 09:15:23,1,fedc20debletest0,,-78.0,3,,1679620567000
99935,7.5909e+93,2023/03/24 09:15:24,1,fedc20debletest0,,-77.5,3,,1679620567000
99939,7.5909e+93,2023/03/24 09:15:25,1,fedc20debletest0,,-74.5,2,,1679620567000
99943,7.5909e+93,2023/03/24 09:15:26,1,fedc20debletest0,,-69.0,2,,1679620567000
99946,7.5909e+93,2023/03/24 09:15:27,1,fedc20debletest0,,-77.0,3,,1679620567000
99949,7.5909e+93,2023/03/24 09:15:28,1,fedc20debletest0,,-75.0,2,,1679620567000
99951,7.5909e+93,2023/03/24 09:15:29,1,fedc20debletest0,,-73.0,2,,1679620567000
99955,7.5909e+93,2023/03/24 09:15:30,1,fedc20debletest0,,-71.5,2,,1679620567000
