id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
110101,0926bde8,2023/03/24 10:25:41,1,dc32f1d2bletest0,,-85.0,5,,1679624833000
110103,0926bde8,2023/03/24 10:25:42,1,dc32f1d2bletest0,,-74.75,2,,1679624833000
110104,0926bde8,2023/03/24 10:25:43,1,dc32f1d2bletest0,,-68.33333333333333,2,,1679624833000
110106,0926bde8,2023/03/24 10:25:44,1,dc32f1d2bletest0,,-70.0,2,,1679624833000
110108,0926bde8,2023/03/24 10:25:45,1,dc32f1d2bletest0,,-72.16666666666667,2,,1679624833000
110111,0926bde8,2023/03/24 10:25:46,1,dc32f1d2bletest0,,-66.66666666666667,2,,1679624833000
110114,0926bde8,2023/03/24 10:25:47,1,dc32f1d2bletest0,,-71.33333333333333,2,,1679624833000
110117,0926bde8,2023/03/24 10:25:48,1,dc32f1d2bletest0,,-69.0,2,,1679624833000
110121,0926bde8,2023/03/24 10:25:49,1,dc32f1d2bletest0,,-74.66666666666667,2,,1679624833000
110125,0926bde8,2023/03/24 10:25:50,1,dc32f1d2bletest0,,-75.0,2,,1679624833000
110129,0926bde8,2023/03/24 10:25:51,1,dc32f1d2bletest0,,-80.5,3,,1679624833000
110133,0926bde8,2023/03/24 10:25:52,1,dc32f1d2bletest0,,-82.0,3,,1679624833000
110137,0926bde8,2023/03/24 10:25:53,1,dc32f1d2bletest0,,-81.33333333333333,3,,1679624833000
110141,0926bde8,2023/03/24 10:25:54,1,dc32f1d2bletest0,,-78.6,3,,1679624833000
110145,0926bde8,2023/03/24 10:25:55,1,dc32f1d2bletest0,,-79.0,3,,1679624833000
110100,0926bde8,2023/03/24 10:26:28,1,dc32f1d2bletest0,,-74.0,2,,1679624833000
110105,0926bde8,2023/03/24 10:26:29,1,dc32f1d2bletest0,,-76.4,3,,1679624833000
110110,0926bde8,2023/03/24 10:26:30,1,dc32f1d2bletest0,,-69.0,2,,1679624833000
110113,0926bde8,2023/03/24 10:26:31,1,dc32f1d2bletest0,,-71.66666666666667,2,,1679624833000
110116,0926bde8,2023/03/24 10:26:32,1,dc32f1d2bletest0,,-75.66666666666667,2,,1679624833000
110123,0926bde8,2023/03/24 10:26:33,1,dc32f1d2bletest0,,-78.2,3,,1679624833000
