id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
113327,7.5909e+93,2023/03/24 11:03:21,1,dc32f1d2bletest0,,-67.77777777777777,2,,1679627090000
113328,7.5909e+93,2023/03/24 11:03:22,1,dc32f1d2bletest0,,-71.76923076923077,2,,1679627090000
113329,7.5909e+93,2023/03/24 11:03:23,1,dc32f1d2bletest0,,-68.625,2,,1679627090000
113331,7.5909e+93,2023/03/24 11:03:24,1,dc32f1d2bletest0,,-70.04761904761905,2,,1679627090000
113333,7.5909e+93,2023/03/24 11:03:25,1,dc32f1d2bletest0,,-68.94444444444444,2,,1679627090000
113335,7.5909e+93,2023/03/24 11:03:26,1,dc32f1d2bletest0,,-72.21428571428571,2,,1679627090000
113337,7.5909e+93,2023/03/24 11:03:27,1,dc32f1d2bletest0,,-67.36363636363636,2,,1679627090000
113339,7.5909e+93,2023/03/24 11:03:28,1,dc32f1d2bletest0,,-63.46666666666667,1,,1679627090000
113341,7.5909e+93,2023/03/24 11:03:29,1,dc32f1d2bletest0,,-68.66666666666667,2,,1679627090000
113343,7.5909e+93,2023/03/24 11:03:30,1,dc32f1d2bletest0,,-64.93333333333334,1,,1679627090000
113345,7.5909e+93,2023/03/24 11:03:31,1,dc32f1d2bletest0,,-60.38461538461539,1,,1679627090000
113347,7.5909e+93,2023/03/24 11:03:32,1,dc32f1d2bletest0,,-58.81818181818182,1,,1679627090000
113349,7.5909e+93,2023/03/24 11:03:33,1,dc32f1d2bletest0,,-61.294117647058826,1,,1679627090000
113352,7.5909e+93,2023/03/24 11:03:34,1,dc32f1d2bletest0,,-61.4,1,,1679627090000
113330,7.5909e+93,2023/03/24 11:04:10,1,dc32f1d2bletest0,,-71.0,2,,1679627090000
113332,7.5909e+93,2023/03/24 11:04:11,1,dc32f1d2bletest0,,-64.5,1,,1679627090000
113334,7.5909e+93,2023/03/24 11:04:12,1,dc32f1d2bletest0,,-73.5,2,,1679627090000
113336,7.5909e+93,2023/03/24 11:04:13,1,dc32f1d2bletest0,,-64.0,1,,1679627090000
113338,7.5909e+93,2023/03/24 11:04:14,1,dc32f1d2bletest0,,-72.0,2,,1679627090000
113340,7.5909e+93,2023/03/24 11:04:15,1,dc32f1d2bletest0,,-71.2,2,,1679627090000
113342,7.5909e+93,2023/03/24 11:04:16,1,dc32f1d2bletest0,,-70.33333333333333,2,,1679627090000
113344,7.5909e+93,2023/03/24 11:04:17,1,dc32f1d2bletest0,,-75.0,2,,1679627090000
