id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
78866,7.5909e+93,2023/02/21 12:21:02,1,164732b9bletest0,,-52.0,1,,1676953297000
79280,7.5909e+93,2023/02/21 12:21:57,1,164732b9bletest0,,-66.0,2,,1676953396000
79295,7.5909e+93,2023/02/21 12:22:32,1,164732b9bletest0,,-67.0,2,,1676953396000
79300,7.5909e+93,2023/02/21 12:22:33,1,164732b9bletest0,,-63.0,1,,1676953396000
79306,7.5909e+93,2023/02/21 12:22:35,1,164732b9bletest0,,-67.0,2,,1676953396000
79309,7.5909e+93,2023/02/21 12:22:36,1,164732b9bletest0,,-63.0,1,,1676953396000
79312,7.5909e+93,2023/02/21 12:22:37,1,164732b9bletest0,,-59.0,1,,1676953396000
79318,7.5909e+93,2023/02/21 12:22:39,1,164732b9bletest0,,-59.0,1,,1676953396000
79322,7.5909e+93,2023/02/21 12:22:40,1,164732b9bletest0,,-63.0,1,,1676953396000
79327,7.5909e+93,2023/02/21 12:22:42,1,164732b9bletest0,,-59.0,1,,1676953396000
79329,7.5909e+93,2023/02/21 12:22:43,1,164732b9bletest0,,-65.0,1,,1676953396000
79333,7.5909e+93,2023/02/21 12:22:44,1,164732b9bletest0,,-62.0,1,,1676953396000
79340,7.5909e+93,2023/02/21 12:22:47,1,164732b9bletest0,,-64.0,1,,1676953396000
79720,7.5909e+93,2023/02/21 12:23:29,1,164732b9bletest0,,-54.0,1,,1676953494000
79725,7.5909e+93,2023/02/21 12:23:31,1,164732b9bletest0,,-49.0,1,,1676953494000
79729,7.5909e+93,2023/02/21 12:24:04,1,164732b9bletest0,,-56.0,1,,1676953494000
79732,7.5909e+93,2023/02/21 12:24:05,1,164732b9bletest0,,-62.0,1,,1676953494000
79736,7.5909e+93,2023/02/21 12:24:06,1,164732b9bletest0,,-53.0,1,,1676953494000
79742,7.5909e+93,2023/02/21 12:24:07,1,164732b9bletest0,,-56.5,1,,1676953494000
79749,7.5909e+93,2023/02/21 12:24:09,1,164732b9bletest0,,-61.0,1,,1676953494000
79752,7.5909e+93,2023/02/21 12:24:10,1,164732b9bletest0,,-59.0,1,,1676953494000
