id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
129835,e6208a42,2023/04/27 21:04:36,1,defe41ccbletest0,,-84.0,3,,1682600772000
129837,e6208a42,2023/04/27 21:04:37,1,defe41ccbletest0,,-84.76923076923077,3,,1682600772000
129844,e6208a42,2023/04/27 21:04:38,1,defe41ccbletest0,,-82.9,3,,1682600772000
129848,e6208a42,2023/04/27 21:04:39,1,defe41ccbletest0,,-85.0,5,,1682600772000
129852,e6208a42,2023/04/27 21:04:40,1,defe41ccbletest0,,-83.5,3,,1682600772000
129856,e6208a42,2023/04/27 21:04:41,1,defe41ccbletest0,,-84.07142857142857,3,,1682600772000
129860,e6208a42,2023/04/27 21:04:42,1,defe41ccbletest0,,-83.8,3,,1682600772000
129862,e6208a42,2023/04/27 21:04:43,1,defe41ccbletest0,,-82.28571428571429,3,,1682600772000
129868,e6208a42,2023/04/27 21:04:44,1,defe41ccbletest0,,-87.0,5,,1682600772000
129872,e6208a42,2023/04/27 21:04:45,1,defe41ccbletest0,,-82.83333333333333,3,,1682600772000
129876,e6208a42,2023/04/27 21:04:46,1,defe41ccbletest0,,-88.125,5,,1682600772000
129881,e6208a42,2023/04/27 21:04:47,1,defe41ccbletest0,,-81.6,3,,1682600772000
129885,e6208a42,2023/04/27 21:04:48,1,defe41ccbletest0,,-85.92307692307692,5,,1682600772000
129887,e6208a42,2023/04/27 21:04:49,1,defe41ccbletest0,,-85.83333333333333,5,,1682600772000
129893,e6208a42,2023/04/27 21:04:50,1,defe41ccbletest0,,-86.11111111111111,5,,1682600772000
129895,e6208a42,2023/04/27 21:04:51,1,defe41ccbletest0,,-88.71428571428571,5,,1682600772000
129896,e6208a42,2023/04/27 21:04:52,1,defe41ccbletest0,,-83.33333333333333,3,,1682600772000
129824,e6208a42,2023/04/27 21:05:20,1,defe41ccbletest0,,-83.16666666666667,3,,1682600772000
129825,e6208a42,2023/04/27 21:05:21,1,defe41ccbletest0,,-81.0,3,,1682600772000
129828,e6208a42,2023/04/27 21:05:22,1,defe41ccbletest0,,-82.63636363636364,3,,1682600772000
129830,e6208a42,2023/04/27 21:05:23,1,defe41ccbletest0,,-84.0,3,,1682600772000
129832,e6208a42,2023/04/27 21:05:24,1,defe41ccbletest0,,-81.66666666666667,3,,1682600772000
129834,e6208a42,2023/04/27 21:05:25,1,defe41ccbletest0,,-80.23076923076923,3,,1682600772000
129840,e6208a42,2023/04/27 21:05:26,1,defe41ccbletest0,,-87.28571428571429,5,,1682600772000
129843,e6208a42,2023/04/27 21:05:27,1,defe41ccbletest0,,-79.0,3,,1682600772000
129845,e6208a42,2023/04/27 21:05:28,1,defe41ccbletest0,,-85.92307692307692,5,,1682600772000
129851,e6208a42,2023/04/27 21:05:29,1,defe41ccbletest0,,-83.55555555555556,3,,1682600772000
129853,e6208a42,2023/04/27 21:05:30,1,defe41ccbletest0,,-83.28571428571429,3,,1682600772000
129857,e6208a42,2023/04/27 21:05:31,1,defe41ccbletest0,,-81.6923076923077,3,,1682600772000
