id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
128044,0926bde8,2023/04/27 20:43:06,1,164732b9bletest0,,-74.5,2,,1682599474000
128048,0926bde8,2023/04/27 20:43:07,1,164732b9bletest0,,-79.0,3,,1682599474000
128050,0926bde8,2023/04/27 20:43:08,1,164732b9bletest0,,-72.5,2,,1682599474000
128052,0926bde8,2023/04/27 20:43:10,1,164732b9bletest0,,-84.0,3,,1682599474000
128054,0926bde8,2023/04/27 20:43:12,1,164732b9bletest0,,-75.5,2,,1682599474000
128056,0926bde8,2023/04/27 20:43:13,1,164732b9bletest0,,-74.0,2,,1682599474000
128058,0926bde8,2023/04/27 20:43:14,1,164732b9bletest0,,-78.66666666666667,3,,1682599474000
128060,0926bde8,2023/04/27 20:43:15,1,164732b9bletest0,,-73.0,2,,1682599474000
128062,0926bde8,2023/04/27 20:43:18,1,164732b9bletest0,,-81.0,3,,1682599474000
128064,0926bde8,2023/04/27 20:43:19,1,164732b9bletest0,,-85.0,5,,1682599474000
128066,0926bde8,2023/04/27 20:43:20,1,164732b9bletest0,,-80.5,3,,1682599474000
128068,0926bde8,2023/04/27 20:43:21,1,164732b9bletest0,,-80.2,3,,1682599474000
128049,0926bde8,2023/04/27 20:43:49,1,164732b9bletest0,,-81.0,3,,1682599474000
128051,0926bde8,2023/04/27 20:43:50,1,164732b9bletest0,,-86.0,5,,1682599474000
128055,0926bde8,2023/04/27 20:43:51,1,164732b9bletest0,,-81.0,3,,1682599474000
128059,0926bde8,2023/04/27 20:43:52,1,164732b9bletest0,,-78.0,3,,1682599474000
128061,0926bde8,2023/04/27 20:43:53,1,164732b9bletest0,,-81.33333333333333,3,,1682599474000
128069,0926bde8,2023/04/27 20:43:55,1,164732b9bletest0,,-88.0,5,,1682599474000
128070,0926bde8,2023/04/27 20:43:56,1,164732b9bletest0,,-84.0,3,,1682599474000
128072,0926bde8,2023/04/27 20:43:57,1,164732b9bletest0,,-78.33333333333333,3,,1682599474000
128073,0926bde8,2023/04/27 20:43:58,1,164732b9bletest0,,-83.5,3,,1682599474000
128075,0926bde8,2023/04/27 20:43:59,1,164732b9bletest0,,-91.66666666666669,5,,1682599474000
128076,0926bde8,2023/04/27 20:44:00,1,164732b9bletest0,,-84.0,3,,1682599474000
128078,0926bde8,2023/04/27 20:44:01,1,164732b9bletest0,,-79.33333333333333,3,,1682599474000
128080,0926bde8,2023/04/27 20:44:02,1,164732b9bletest0,,-71.0,2,,1682599474000
128081,0926bde8,2023/04/27 20:44:03,1,164732b9bletest0,,-91.5,5,,1682599474000
128082,0926bde8,2023/04/27 20:44:04,1,164732b9bletest0,,-73.8,2,,1682599474000
128252,0926bde8,2023/04/27 20:44:38,1,164732b9bletest0,,-85.66666666666667,5,,1682599565000
128253,0926bde8,2023/04/27 20:44:39,1,164732b9bletest0,,-79.11111111111111,3,,1682599565000
128257,0926bde8,2023/04/27 20:44:40,1,164732b9bletest0,,-74.5,2,,1682599565000
128263,0926bde8,2023/04/27 20:44:41,1,164732b9bletest0,,-79.9090909090909,3,,1682599565000
128265,0926bde8,2023/04/27 20:44:42,1,164732b9bletest0,,-83.4,3,,1682599565000
128269,0926bde8,2023/04/27 20:44:43,1,164732b9bletest0,,-80.71428571428571,3,,1682599565000
128272,0926bde8,2023/04/27 20:44:44,1,164732b9bletest0,,-82.0,3,,1682599565000
128274,0926bde8,2023/04/27 20:44:45,1,164732b9bletest0,,-76.42857142857143,3,,1682599565000
128281,0926bde8,2023/04/27 20:44:46,1,164732b9bletest0,,-81.0,3,,1682599565000
128283,0926bde8,2023/04/27 20:44:47,1,164732b9bletest0,,-83.57142857142857,3,,1682599565000
128285,0926bde8,2023/04/27 20:44:48,1,164732b9bletest0,,-82.66666666666667,3,,1682599565000
128289,0926bde8,2023/04/27 20:44:49,1,164732b9bletest0,,-80.66666666666667,3,,1682599565000
128291,0926bde8,2023/04/27 20:44:50,1,164732b9bletest0,,-82.2,3,,1682599565000
128293,0926bde8,2023/04/27 20:44:51,1,164732b9bletest0,,-85.8,5,,1682599565000
128254,0926bde8,2023/04/27 20:45:15,1,164732b9bletest0,,-78.0,3,,1682599565000
128256,0926bde8,2023/04/27 20:45:16,1,164732b9bletest0,,-84.375,3,,1682599565000
128258,0926bde8,2023/04/27 20:45:17,1,164732b9bletest0,,-86.0,5,,1682599565000
128260,0926bde8,2023/04/27 20:45:18,1,164732b9bletest0,,-79.9,3,,1682599565000
128262,0926bde8,2023/04/27 20:45:19,1,164732b9bletest0,,-77.0,3,,1682599565000
128264,0926bde8,2023/04/27 20:45:20,1,164732b9bletest0,,-78.0,3,,1682599565000
128266,0926bde8,2023/04/27 20:45:21,1,164732b9bletest0,,-86.85714285714286,5,,1682599565000
128268,0926bde8,2023/04/27 20:45:22,1,164732b9bletest0,,-88.6,5,,1682599565000
128270,0926bde8,2023/04/27 20:45:23,1,164732b9bletest0,,-86.75,5,,1682599565000
128273,0926bde8,2023/04/27 20:45:24,1,164732b9bletest0,,-90.875,5,,1682599565000
128276,0926bde8,2023/04/27 20:45:25,1,164732b9bletest0,,-83.88888888888889,3,,1682599565000
128280,0926bde8,2023/04/27 20:45:26,1,164732b9bletest0,,-82.45454545454545,3,,1682599565000
128284,0926bde8,2023/04/27 20:45:27,1,164732b9bletest0,,-82.375,3,,1682599565000
128288,0926bde8,2023/04/27 20:45:28,1,164732b9bletest0,,-83.5,3,,1682599565000
128294,0926bde8,2023/04/27 20:45:29,1,164732b9bletest0,,-80.5,3,,1682599565000
128295,0926bde8,2023/04/27 20:45:30,1,164732b9bletest0,,-75.0,2,,1682599565000
128457,0926bde8,2023/04/27 20:46:09,1,164732b9bletest0,,-78.85714285714286,3,,1682599658000
128458,0926bde8,2023/04/27 20:46:10,1,164732b9bletest0,,-80.16666666666667,3,,1682599658000
128460,0926bde8,2023/04/27 20:46:11,1,164732b9bletest0,,-75.5,2,,1682599658000
128462,0926bde8,2023/04/27 20:46:12,1,164732b9bletest0,,-75.66666666666667,2,,1682599658000
128464,0926bde8,2023/04/27 20:46:13,1,164732b9bletest0,,-74.08333333333333,2,,1682599658000
128465,0926bde8,2023/04/27 20:46:14,1,164732b9bletest0,,-79.5,3,,1682599658000
128468,0926bde8,2023/04/27 20:46:15,1,164732b9bletest0,,-74.3076923076923,2,,1682599658000
128469,0926bde8,2023/04/27 20:46:16,1,164732b9bletest0,,-73.625,2,,1682599658000
128473,0926bde8,2023/04/27 20:46:17,1,164732b9bletest0,,-78.41666666666667,3,,1682599658000
128477,0926bde8,2023/04/27 20:46:18,1,164732b9bletest0,,-80.16666666666667,3,,1682599658000
128481,0926bde8,2023/04/27 20:46:19,1,164732b9bletest0,,-77.7,3,,1682599658000
128485,0926bde8,2023/04/27 20:46:20,1,164732b9bletest0,,-80.15384615384616,3,,1682599658000
128487,0926bde8,2023/04/27 20:46:21,1,164732b9bletest0,,-75.41666666666667,2,,1682599658000
128489,0926bde8,2023/04/27 20:46:22,1,164732b9bletest0,,-77.92857142857143,3,,1682599658000
128493,0926bde8,2023/04/27 20:46:23,1,164732b9bletest0,,-79.66666666666667,3,,1682599658000
128497,0926bde8,2023/04/27 20:46:24,1,164732b9bletest0,,-77.75,3,,1682599658000
128459,0926bde8,2023/04/27 20:46:56,1,164732b9bletest0,,-82.64285714285714,3,,1682599658000
128461,0926bde8,2023/04/27 20:46:57,1,164732b9bletest0,,-79.27272727272727,3,,1682599658000
128463,0926bde8,2023/04/27 20:46:58,1,164732b9bletest0,,-82.8,3,,1682599658000
128466,0926bde8,2023/04/27 20:46:59,1,164732b9bletest0,,-79.36363636363636,3,,1682599658000
128467,0926bde8,2023/04/27 20:47:00,1,164732b9bletest0,,-78.92307692307692,3,,1682599658000
128470,0926bde8,2023/04/27 20:47:01,1,164732b9bletest0,,-81.88888888888889,3,,1682599658000
128472,0926bde8,2023/04/27 20:47:02,1,164732b9bletest0,,-83.8,3,,1682599658000
128474,0926bde8,2023/04/27 20:47:03,1,164732b9bletest0,,-80.46153846153847,3,,1682599658000
128476,0926bde8,2023/04/27 20:47:04,1,164732b9bletest0,,-77.625,3,,1682599658000
128480,0926bde8,2023/04/27 20:47:05,1,164732b9bletest0,,-75.71428571428571,2,,1682599658000
128482,0926bde8,2023/04/27 20:47:06,1,164732b9bletest0,,-72.53333333333333,2,,1682599658000
128486,0926bde8,2023/04/27 20:47:07,1,164732b9bletest0,,-75.71428571428571,2,,1682599658000
128490,0926bde8,2023/04/27 20:47:08,1,164732b9bletest0,,-71.77777777777777,2,,1682599658000
128494,0926bde8,2023/04/27 20:47:09,1,164732b9bletest0,,-76.0,3,,1682599658000
128496,0926bde8,2023/04/27 20:47:10,1,164732b9bletest0,,-75.57142857142857,2,,1682599658000
128618,0926bde8,2023/04/27 20:47:42,1,164732b9bletest0,,-76.25,3,,1682599750000
128620,0926bde8,2023/04/27 20:47:43,1,164732b9bletest0,,-77.15384615384616,3,,1682599750000
128622,0926bde8,2023/04/27 20:47:44,1,164732b9bletest0,,-77.1,3,,1682599750000
128624,0926bde8,2023/04/27 20:47:45,1,164732b9bletest0,,-77.8,3,,1682599750000
128625,0926bde8,2023/04/27 20:47:46,1,164732b9bletest0,,-78.0,3,,1682599750000
128627,0926bde8,2023/04/27 20:47:47,1,164732b9bletest0,,-77.1,3,,1682599750000
128630,0926bde8,2023/04/27 20:47:48,1,164732b9bletest0,,-78.63636363636364,3,,1682599750000
128631,0926bde8,2023/04/27 20:47:49,1,164732b9bletest0,,-75.53333333333333,2,,1682599750000
128633,0926bde8,2023/04/27 20:47:50,1,164732b9bletest0,,-88.0,5,,1682599750000
128635,0926bde8,2023/04/27 20:47:51,1,164732b9bletest0,,-71.44444444444444,2,,1682599750000
128639,0926bde8,2023/04/27 20:47:52,1,164732b9bletest0,,-75.1,2,,1682599750000
