id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
128030,dc32f1d2,2023/04/27 20:42:04,1,defe41ccbletest0,,-89.0,5,,1682599415000
128031,dc32f1d2,2023/04/27 20:42:06,1,defe41ccbletest0,,-91.875,5,,1682599415000
128032,dc32f1d2,2023/04/27 20:42:07,1,defe41ccbletest0,,-89.0,5,,1682599415000
128033,dc32f1d2,2023/04/27 20:42:08,1,defe41ccbletest0,,-91.0,5,,1682599415000
128034,dc32f1d2,2023/04/27 20:42:09,1,defe41ccbletest0,,-88.5,5,,1682599415000
128035,dc32f1d2,2023/04/27 20:42:10,1,defe41ccbletest0,,-90.0,5,,1682599415000
128036,dc32f1d2,2023/04/27 20:42:13,1,defe41ccbletest0,,-93.0,5,,1682599415000
128037,dc32f1d2,2023/04/27 20:42:14,1,defe41ccbletest0,,-85.0,5,,1682599415000
128038,dc32f1d2,2023/04/27 20:42:15,1,defe41ccbletest0,,-93.0,5,,1682599415000
128039,dc32f1d2,2023/04/27 20:42:16,1,defe41ccbletest0,,-89.6,5,,1682599415000
128040,dc32f1d2,2023/04/27 20:42:17,1,defe41ccbletest0,,-95.5,5,,1682599415000
128041,dc32f1d2,2023/04/27 20:42:18,1,defe41ccbletest0,,-93.0,5,,1682599415000
128042,dc32f1d2,2023/04/27 20:42:19,1,defe41ccbletest0,,-90.4,5,,1682599415000
128043,dc32f1d2,2023/04/27 20:42:20,1,defe41ccbletest0,,-89.0,5,,1682599415000
128244,dc32f1d2,2023/04/27 20:43:42,1,defe41ccbletest0,,-87.25,5,,1682599501000
128246,dc32f1d2,2023/04/27 20:43:45,1,defe41ccbletest0,,-82.0,3,,1682599501000
128248,dc32f1d2,2023/04/27 20:43:46,1,defe41ccbletest0,,-87.66666666666667,5,,1682599501000
128249,dc32f1d2,2023/04/27 20:43:47,1,defe41ccbletest0,,-90.0,5,,1682599501000
128250,dc32f1d2,2023/04/27 20:43:49,1,defe41ccbletest0,,-83.75,3,,1682599501000
128251,dc32f1d2,2023/04/27 20:43:50,1,defe41ccbletest0,,-82.0,3,,1682599501000
128240,dc32f1d2,2023/04/27 20:44:15,1,defe41ccbletest0,,-83.0,3,,1682599501000
128241,dc32f1d2,2023/04/27 20:44:16,1,defe41ccbletest0,,-89.33333333333333,5,,1682599501000
128242,dc32f1d2,2023/04/27 20:44:20,1,defe41ccbletest0,,-94.5,5,,1682599501000
128243,dc32f1d2,2023/04/27 20:44:22,1,defe41ccbletest0,,-96.0,5,,1682599501000
128245,dc32f1d2,2023/04/27 20:44:24,1,defe41ccbletest0,,-88.75,5,,1682599501000
128247,dc32f1d2,2023/04/27 20:44:25,1,defe41ccbletest0,,-93.0,5,,1682599501000
128370,dc32f1d2,2023/04/27 20:45:08,1,defe41ccbletest0,,-85.0,5,,1682599592000
128372,dc32f1d2,2023/04/27 20:45:13,1,defe41ccbletest0,,-90.0,5,,1682599592000
128374,dc32f1d2,2023/04/27 20:45:14,1,defe41ccbletest0,,-88.85714285714286,5,,1682599592000
128376,dc32f1d2,2023/04/27 20:45:16,1,defe41ccbletest0,,-83.33333333333333,3,,1682599592000
128378,dc32f1d2,2023/04/27 20:45:17,1,defe41ccbletest0,,-86.0,5,,1682599592000
128380,dc32f1d2,2023/04/27 20:45:19,1,defe41ccbletest0,,-89.0,5,,1682599592000
128366,dc32f1d2,2023/04/27 20:45:51,1,defe41ccbletest0,,-88.2,5,,1682599592000
128367,dc32f1d2,2023/04/27 20:45:52,1,defe41ccbletest0,,-86.0,5,,1682599592000
128368,dc32f1d2,2023/04/27 20:45:54,1,defe41ccbletest0,,-94.5,5,,1682599592000
128369,dc32f1d2,2023/04/27 20:45:55,1,defe41ccbletest0,,-89.0,5,,1682599592000
