id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
113358,0926bde8,2023/03/24 11:03:30,1,dc32f1d2bletest0,,-77.88888888888889,3,,1679627092000
113359,0926bde8,2023/03/24 11:03:31,1,dc32f1d2bletest0,,-76.61538461538461,3,,1679627092000
113360,0926bde8,2023/03/24 11:03:32,1,dc32f1d2bletest0,,-76.92307692307692,3,,1679627092000
113361,0926bde8,2023/03/24 11:03:33,1,dc32f1d2bletest0,,-75.125,2,,1679627092000
113362,0926bde8,2023/03/24 11:03:34,1,dc32f1d2bletest0,,-75.8125,2,,1679627092000
113363,0926bde8,2023/03/24 11:03:35,1,dc32f1d2bletest0,,-74.9,2,,1679627092000
113365,0926bde8,2023/03/24 11:04:10,1,dc32f1d2bletest0,,-84.5,3,,1679627092000
113366,0926bde8,2023/03/24 11:04:11,1,dc32f1d2bletest0,,-74.0,2,,1679627092000
113367,0926bde8,2023/03/24 11:04:12,1,dc32f1d2bletest0,,-85.5,5,,1679627092000
113368,0926bde8,2023/03/24 11:04:13,1,dc32f1d2bletest0,,-84.5,3,,1679627092000
113369,0926bde8,2023/03/24 11:04:14,1,dc32f1d2bletest0,,-86.5,5,,1679627092000
113370,0926bde8,2023/03/24 11:04:15,1,dc32f1d2bletest0,,-79.83333333333333,3,,1679627092000
113371,0926bde8,2023/03/24 11:04:16,1,dc32f1d2bletest0,,-81.5,3,,1679627092000
113372,0926bde8,2023/03/24 11:04:17,1,dc32f1d2bletest0,,-88.0,5,,1679627092000
113373,0926bde8,2023/03/24 11:04:18,1,dc32f1d2bletest0,,-87.8,5,,1679627092000
113376,0926bde8,2023/03/24 11:04:19,1,dc32f1d2bletest0,,-84.33333333333333,3,,1679627092000
113378,0926bde8,2023/03/24 11:04:20,1,dc32f1d2bletest0,,-83.0,3,,1679627092000
113379,0926bde8,2023/03/24 11:04:21,1,dc32f1d2bletest0,,-80.75,3,,1679627092000
113382,0926bde8,2023/03/24 11:04:22,1,dc32f1d2bletest0,,-84.0,3,,1679627092000
