id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
89685,7.5909e+93,2023/02/21 13:17:06,1,164732b9bletest0,,-67.0,2,,1676956704000
89701,7.5909e+93,2023/02/21 13:17:10,1,164732b9bletest0,,-71.5,2,,1676956704000
89703,7.5909e+93,2023/02/21 13:17:11,1,164732b9bletest0,,-73.0,2,,1676956704000
89712,7.5909e+93,2023/02/21 13:17:12,1,164732b9bletest0,,-69.0,2,,1676956704000
89713,7.5909e+93,2023/02/21 13:17:13,1,164732b9bletest0,,-70.5,2,,1676956704000
89716,7.5909e+93,2023/02/21 13:17:14,1,164732b9bletest0,,-76.0,3,,1676956704000
89720,7.5909e+93,2023/02/21 13:17:16,1,164732b9bletest0,,-71.0,2,,1676956704000
89680,7.5909e+93,2023/02/21 13:17:51,1,164732b9bletest0,,-62.0,1,,1676956704000
89684,7.5909e+93,2023/02/21 13:17:52,1,164732b9bletest0,,-67.0,2,,1676956704000
89694,7.5909e+93,2023/02/21 13:17:54,1,164732b9bletest0,,-64.0,1,,1676956704000
89704,7.5909e+93,2023/02/21 13:17:56,1,164732b9bletest0,,-63.0,1,,1676956704000
89710,7.5909e+93,2023/02/21 13:17:57,1,164732b9bletest0,,-67.0,2,,1676956704000
90306,7.5909e+93,2023/02/21 13:18:31,1,164732b9bletest0,,-58.0,1,,1676956799000
90314,7.5909e+93,2023/02/21 13:18:33,1,164732b9bletest0,,-81.0,3,,1676956799000
90317,7.5909e+93,2023/02/21 13:18:34,1,164732b9bletest0,,-65.5,2,,1676956799000
90323,7.5909e+93,2023/02/21 13:18:35,1,164732b9bletest0,,-64.0,1,,1676956799000
90331,7.5909e+93,2023/02/21 13:18:36,1,164732b9bletest0,,-63.0,1,,1676956799000
90340,7.5909e+93,2023/02/21 13:18:39,1,164732b9bletest0,,-62.0,1,,1676956799000
90350,7.5909e+93,2023/02/21 13:18:40,1,164732b9bletest0,,-61.5,1,,1676956799000
90355,7.5909e+93,2023/02/21 13:19:18,1,164732b9bletest0,,-62.0,1,,1676956799000
90359,7.5909e+93,2023/02/21 13:19:19,1,164732b9bletest0,,-66.0,2,,1676956799000
90360,7.5909e+93,2023/02/21 13:19:20,1,164732b9bletest0,,-67.0,2,,1676956799000
90362,7.5909e+93,2023/02/21 13:19:21,1,164732b9bletest0,,-65.0,1,,1676956799000
90363,7.5909e+93,2023/02/21 13:19:22,1,164732b9bletest0,,-67.0,2,,1676956799000
90368,7.5909e+93,2023/02/21 13:19:25,1,164732b9bletest0,,-62.0,1,,1676956799000
90373,7.5909e+93,2023/02/21 13:19:28,1,164732b9bletest0,,-63.0,1,,1676956799000
90843,7.5909e+93,2023/02/21 13:20:12,1,164732b9bletest0,,-70.0,2,,1676956891000
90845,7.5909e+93,2023/02/21 13:20:13,1,164732b9bletest0,,-76.0,3,,1676956891000
90851,7.5909e+93,2023/02/21 13:20:15,1,164732b9bletest0,,-65.0,1,,1676956891000
90857,7.5909e+93,2023/02/21 13:20:16,1,164732b9bletest0,,-66.0,2,,1676956891000
90869,7.5909e+93,2023/02/21 13:20:18,1,164732b9bletest0,,-77.0,3,,1676956891000
90871,7.5909e+93,2023/02/21 13:20:19,1,164732b9bletest0,,-65.0,1,,1676956891000
90862,7.5909e+93,2023/02/21 13:21:03,1,164732b9bletest0,,-66.0,2,,1676956891000
90872,7.5909e+93,2023/02/21 13:21:04,1,164732b9bletest0,,-75.5,2,,1676956891000
90877,7.5909e+93,2023/02/21 13:21:06,1,164732b9bletest0,,-69.0,2,,1676956891000
90879,7.5909e+93,2023/02/21 13:21:07,1,164732b9bletest0,,-79.0,3,,1676956891000
90881,7.5909e+93,2023/02/21 13:21:08,1,164732b9bletest0,,-67.0,2,,1676956891000
