id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
91232,0926bde8,2023/02/21 13:22:01,1,164732b9bletest0,,-60.5,1,,1676956959000
91243,0926bde8,2023/02/21 13:22:02,1,164732b9bletest0,,-58.0,1,,1676956959000
91804,0926bde8,2023/02/21 13:22:46,1,164732b9bletest0,,-61.0,1,,1676957045000
91819,0926bde8,2023/02/21 13:22:48,1,164732b9bletest0,,-62.0,1,,1676957045000
91837,0926bde8,2023/02/21 13:22:51,1,164732b9bletest0,,-63.5,1,,1676957045000
91844,0926bde8,2023/02/21 13:22:52,1,164732b9bletest0,,-70.0,2,,1676957045000
91847,0926bde8,2023/02/21 13:22:53,1,164732b9bletest0,,-68.0,2,,1676957045000
91852,0926bde8,2023/02/21 13:22:54,1,164732b9bletest0,,-63.0,1,,1676957045000
91856,0926bde8,2023/02/21 13:22:56,1,164732b9bletest0,,-62.0,1,,1676957045000
91789,0926bde8,2023/02/21 13:23:29,1,164732b9bletest0,,-68.0,2,,1676957045000
91801,0926bde8,2023/02/21 13:23:30,1,164732b9bletest0,,-83.0,3,,1676957045000
91810,0926bde8,2023/02/21 13:23:32,1,164732b9bletest0,,-71.0,2,,1676957045000
91820,0926bde8,2023/02/21 13:23:34,1,164732b9bletest0,,-76.0,3,,1676957045000
91828,0926bde8,2023/02/21 13:23:35,1,164732b9bletest0,,-79.0,3,,1676957045000
91842,0926bde8,2023/02/21 13:23:38,1,164732b9bletest0,,-91.0,5,,1676957045000
92438,0926bde8,2023/02/21 13:24:11,1,164732b9bletest0,,-71.0,2,,1676957142000
92450,0926bde8,2023/02/21 13:24:12,1,164732b9bletest0,,-67.0,2,,1676957142000
92460,0926bde8,2023/02/21 13:24:13,1,164732b9bletest0,,-71.0,2,,1676957142000
92466,0926bde8,2023/02/21 13:24:14,1,164732b9bletest0,,-62.0,1,,1676957142000
92468,0926bde8,2023/02/21 13:24:15,1,164732b9bletest0,,-66.5,2,,1676957142000
92478,0926bde8,2023/02/21 13:24:16,1,164732b9bletest0,,-63.0,1,,1676957142000
92490,0926bde8,2023/02/21 13:24:18,1,164732b9bletest0,,-62.0,1,,1676957142000
92496,0926bde8,2023/02/21 13:24:19,1,164732b9bletest0,,-63.0,1,,1676957142000
92512,0926bde8,2023/02/21 13:24:21,1,164732b9bletest0,,-68.0,2,,1676957142000
92518,0926bde8,2023/02/21 13:24:22,1,164732b9bletest0,,-65.0,1,,1676957142000
92449,0926bde8,2023/02/21 13:24:51,1,164732b9bletest0,,-65.0,1,,1676957142000
92463,0926bde8,2023/02/21 13:24:53,1,164732b9bletest0,,-62.0,1,,1676957142000
92469,0926bde8,2023/02/21 13:24:54,1,164732b9bletest0,,-64.0,1,,1676957142000
92483,0926bde8,2023/02/21 13:24:57,1,164732b9bletest0,,-61.0,1,,1676957142000
92489,0926bde8,2023/02/21 13:24:58,1,164732b9bletest0,,-66.5,2,,1676957142000
92501,0926bde8,2023/02/21 13:25:00,1,164732b9bletest0,,-71.0,2,,1676957142000
