id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
104337,dc32f1d2,2023/03/24 09:41:17,1,75909e89bletest0,,-67.0,2,,1679622161000
104348,dc32f1d2,2023/03/24 09:41:18,1,75909e89bletest0,,-80.0,3,,1679622161000
104287,dc32f1d2,2023/03/24 09:41:54,1,75909e89bletest0,,-78.0,3,,1679622161000
104295,dc32f1d2,2023/03/24 09:41:55,1,75909e89bletest0,,-64.0,1,,1679622161000
104299,dc32f1d2,2023/03/24 09:41:56,1,75909e89bletest0,,-79.0,3,,1679622161000
104307,dc32f1d2,2023/03/24 09:41:57,1,75909e89bletest0,,-68.0,2,,1679622161000
104319,dc32f1d2,2023/03/24 09:41:59,1,75909e89bletest0,,-70.0,2,,1679622161000
104328,dc32f1d2,2023/03/24 09:42:00,1,75909e89bletest0,,-65.5,2,,1679622161000
104336,dc32f1d2,2023/03/24 09:42:01,1,75909e89bletest0,,-75.0,2,,1679622161000
104345,dc32f1d2,2023/03/24 09:42:02,1,75909e89bletest0,,-76.0,3,,1679622161000
104352,dc32f1d2,2023/03/24 09:42:03,1,75909e89bletest0,,-93.0,5,,1679622161000
104361,dc32f1d2,2023/03/24 09:42:04,1,75909e89bletest0,,-82.0,3,,1679622161000
104598,dc32f1d2,2023/03/24 09:42:45,1,75909e89bletest0,,-72.0,2,,1679622247000
104603,dc32f1d2,2023/03/24 09:42:46,1,75909e89bletest0,,-74.0,2,,1679622247000
104614,dc32f1d2,2023/03/24 09:42:48,1,75909e89bletest0,,-75.0,2,,1679622247000
104618,dc32f1d2,2023/03/24 09:42:49,1,75909e89bletest0,,-78.0,3,,1679622247000
104631,dc32f1d2,2023/03/24 09:42:50,1,75909e89bletest0,,-78.0,3,,1679622247000
104644,dc32f1d2,2023/03/24 09:42:51,1,75909e89bletest0,,-75.0,2,,1679622247000
104664,dc32f1d2,2023/03/24 09:42:53,1,75909e89bletest0,,-73.0,2,,1679622247000
104599,dc32f1d2,2023/03/24 09:43:23,1,75909e89bletest0,,-74.0,2,,1679622247000
104609,dc32f1d2,2023/03/24 09:43:24,1,75909e89bletest0,,-72.0,2,,1679622247000
104617,dc32f1d2,2023/03/24 09:43:25,1,75909e89bletest0,,-74.0,2,,1679622247000
104633,dc32f1d2,2023/03/24 09:43:28,1,75909e89bletest0,,-63.0,1,,1679622247000
104643,dc32f1d2,2023/03/24 09:43:30,1,75909e89bletest0,,-66.0,2,,1679622247000
104651,dc32f1d2,2023/03/24 09:43:31,1,75909e89bletest0,,-66.0,2,,1679622247000
104659,dc32f1d2,2023/03/24 09:43:32,1,75909e89bletest0,,-66.0,2,,1679622247000
104667,dc32f1d2,2023/03/24 09:43:33,1,75909e89bletest0,,-67.0,2,,1679622247000
104671,dc32f1d2,2023/03/24 09:43:34,1,75909e89bletest0,,-63.0,1,,1679622247000
104683,dc32f1d2,2023/03/24 09:43:35,1,75909e89bletest0,,-72.0,2,,1679622247000
104900,dc32f1d2,2023/03/24 09:44:13,1,75909e89bletest0,,-69.0,2,,1679622348000
104903,dc32f1d2,2023/03/24 09:44:14,1,75909e89bletest0,,-61.5,1,,1679622348000
104914,dc32f1d2,2023/03/24 09:44:15,1,75909e89bletest0,,-68.0,2,,1679622348000
104922,dc32f1d2,2023/03/24 09:44:16,1,75909e89bletest0,,-62.0,1,,1679622348000
104926,dc32f1d2,2023/03/24 09:44:17,1,75909e89bletest0,,-71.0,2,,1679622348000
104937,dc32f1d2,2023/03/24 09:44:18,1,75909e89bletest0,,-68.0,2,,1679622348000
104945,dc32f1d2,2023/03/24 09:44:19,1,75909e89bletest0,,-62.0,1,,1679622348000
104953,dc32f1d2,2023/03/24 09:44:20,1,75909e89bletest0,,-66.5,2,,1679622348000
104958,dc32f1d2,2023/03/24 09:44:21,1,75909e89bletest0,,-66.0,2,,1679622348000
104898,dc32f1d2,2023/03/24 09:45:00,1,75909e89bletest0,,-62.0,1,,1679622348000
104901,dc32f1d2,2023/03/24 09:45:01,1,75909e89bletest0,,-65.0,1,,1679622348000
105187,dc32f1d2,2023/03/24 09:45:53,1,75909e89bletest0,,-62.0,1,,1679622451000
