id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
85867,7.5909e+93,2023/02/21 13:06:45,1,164732b9bletest0,,-61.0,1,,1676956052000
85870,7.5909e+93,2023/02/21 13:06:46,1,164732b9bletest0,,-60.0,1,,1676956052000
85871,7.5909e+93,2023/02/21 13:06:47,1,164732b9bletest0,,-63.0,1,,1676956052000
86412,7.5909e+93,2023/02/21 13:07:36,1,164732b9bletest0,,-64.0,1,,1676956154000
86421,7.5909e+93,2023/02/21 13:07:37,1,164732b9bletest0,,-60.0,1,,1676956154000
86417,7.5909e+93,2023/02/21 13:08:21,1,164732b9bletest0,,-59.0,1,,1676956154000
86426,7.5909e+93,2023/02/21 13:08:24,1,164732b9bletest0,,-58.5,1,,1676956154000
86435,7.5909e+93,2023/02/21 13:08:25,1,164732b9bletest0,,-57.0,1,,1676956154000
86446,7.5909e+93,2023/02/21 13:08:26,1,164732b9bletest0,,-60.5,1,,1676956154000
86453,7.5909e+93,2023/02/21 13:08:27,1,164732b9bletest0,,-61.0,1,,1676956154000
86457,7.5909e+93,2023/02/21 13:08:28,1,164732b9bletest0,,-62.0,1,,1676956154000
86458,7.5909e+93,2023/02/21 13:08:30,1,164732b9bletest0,,-50.0,1,,1676956154000
86914,7.5909e+93,2023/02/21 13:09:18,1,164732b9bletest0,,-62.0,1,,1676956246000
86923,7.5909e+93,2023/02/21 13:09:20,1,164732b9bletest0,,-59.0,1,,1676956246000
86947,7.5909e+93,2023/02/21 13:09:22,1,164732b9bletest0,,-57.0,1,,1676956246000
86951,7.5909e+93,2023/02/21 13:09:23,1,164732b9bletest0,,-56.0,1,,1676956246000
86955,7.5909e+93,2023/02/21 13:09:24,1,164732b9bletest0,,-51.0,1,,1676956246000
86959,7.5909e+93,2023/02/21 13:09:25,1,164732b9bletest0,,-47.0,1,,1676956246000
86965,7.5909e+93,2023/02/21 13:09:26,1,164732b9bletest0,,-48.0,1,,1676956246000
86969,7.5909e+93,2023/02/21 13:09:27,1,164732b9bletest0,,-47.0,1,,1676956246000
86930,7.5909e+93,2023/02/21 13:10:01,1,164732b9bletest0,,-53.0,1,,1676956246000
86938,7.5909e+93,2023/02/21 13:10:02,1,164732b9bletest0,,-70.0,2,,1676956246000
86964,7.5909e+93,2023/02/21 13:10:05,1,164732b9bletest0,,-63.0,1,,1676956246000
86975,7.5909e+93,2023/02/21 13:10:07,1,164732b9bletest0,,-73.0,2,,1676956246000
86978,7.5909e+93,2023/02/21 13:10:08,1,164732b9bletest0,,-64.0,1,,1676956246000
86981,7.5909e+93,2023/02/21 13:10:09,1,164732b9bletest0,,-63.0,1,,1676956246000
87549,7.5909e+93,2023/02/21 13:10:50,1,164732b9bletest0,,-69.0,2,,1676956345000
87562,7.5909e+93,2023/02/21 13:10:51,1,164732b9bletest0,,-61.0,1,,1676956345000
87578,7.5909e+93,2023/02/21 13:10:53,1,164732b9bletest0,,-65.0,1,,1676956345000
87586,7.5909e+93,2023/02/21 13:10:54,1,164732b9bletest0,,-67.0,2,,1676956345000
87594,7.5909e+93,2023/02/21 13:10:56,1,164732b9bletest0,,-69.0,2,,1676956345000
87605,7.5909e+93,2023/02/21 13:11:39,1,164732b9bletest0,,-70.0,2,,1676956345000
87611,7.5909e+93,2023/02/21 13:11:40,1,164732b9bletest0,,-69.0,2,,1676956345000
87613,7.5909e+93,2023/02/21 13:11:41,1,164732b9bletest0,,-70.0,2,,1676956345000
87618,7.5909e+93,2023/02/21 13:11:43,1,164732b9bletest0,,-72.5,2,,1676956345000
87625,7.5909e+93,2023/02/21 13:11:47,1,164732b9bletest0,,-77.0,3,,1676956345000
87949,7.5909e+93,2023/02/21 13:12:31,1,164732b9bletest0,,-72.0,2,,1676956428000
87953,7.5909e+93,2023/02/21 13:13:11,1,164732b9bletest0,,-67.0,2,,1676956428000
87959,7.5909e+93,2023/02/21 13:13:12,1,164732b9bletest0,,-71.0,2,,1676956428000
87965,7.5909e+93,2023/02/21 13:13:13,1,164732b9bletest0,,-71.0,2,,1676956428000
87969,7.5909e+93,2023/02/21 13:13:14,1,164732b9bletest0,,-71.0,2,,1676956428000
87977,7.5909e+93,2023/02/21 13:13:16,1,164732b9bletest0,,-71.0,2,,1676956428000
87981,7.5909e+93,2023/02/21 13:13:18,1,164732b9bletest0,,-76.0,3,,1676956428000
87987,7.5909e+93,2023/02/21 13:13:20,1,164732b9bletest0,,-70.0,2,,1676956428000
88581,7.5909e+93,2023/02/21 13:13:57,1,164732b9bletest0,,-72.0,2,,1676956524000
88589,7.5909e+93,2023/02/21 13:13:58,1,164732b9bletest0,,-73.0,2,,1676956524000
88595,7.5909e+93,2023/02/21 13:13:59,1,164732b9bletest0,,-78.0,3,,1676956524000
88606,7.5909e+93,2023/02/21 13:14:02,1,164732b9bletest0,,-71.5,2,,1676956524000
88614,7.5909e+93,2023/02/21 13:14:04,1,164732b9bletest0,,-69.5,2,,1676956524000
88588,7.5909e+93,2023/02/21 13:14:44,1,164732b9bletest0,,-66.0,2,,1676956524000
88592,7.5909e+93,2023/02/21 13:14:45,1,164732b9bletest0,,-60.0,1,,1676956524000
88596,7.5909e+93,2023/02/21 13:14:46,1,164732b9bletest0,,-63.0,1,,1676956524000
88600,7.5909e+93,2023/02/21 13:14:47,1,164732b9bletest0,,-63.0,1,,1676956524000
88609,7.5909e+93,2023/02/21 13:14:50,1,164732b9bletest0,,-66.33333333333333,2,,1676956524000
88613,7.5909e+93,2023/02/21 13:14:51,1,164732b9bletest0,,-66.0,2,,1676956524000
88617,7.5909e+93,2023/02/21 13:14:52,1,164732b9bletest0,,-63.0,1,,1676956524000
89139,7.5909e+93,2023/02/21 13:15:29,1,164732b9bletest0,,-64.66666666666667,1,,1676956614000
89156,7.5909e+93,2023/02/21 13:15:31,1,164732b9bletest0,,-67.0,2,,1676956614000
89164,7.5909e+93,2023/02/21 13:15:32,1,164732b9bletest0,,-60.0,1,,1676956614000
89169,7.5909e+93,2023/02/21 13:15:33,1,164732b9bletest0,,-63.0,1,,1676956614000
89175,7.5909e+93,2023/02/21 13:15:34,1,164732b9bletest0,,-66.0,2,,1676956614000
89186,7.5909e+93,2023/02/21 13:15:37,1,164732b9bletest0,,-64.5,1,,1676956614000
89189,7.5909e+93,2023/02/21 13:15:38,1,164732b9bletest0,,-63.0,1,,1676956614000
89192,7.5909e+93,2023/02/21 13:15:39,1,164732b9bletest0,,-65.0,1,,1676956614000
