id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
113385,fedc20de,2023/03/24 11:04:28,1,dc32f1d2bletest0,,-72.0,2,,1679627115000
113386,fedc20de,2023/03/24 11:04:29,1,dc32f1d2bletest0,,-78.0,3,,1679627115000
113388,fedc20de,2023/03/24 11:04:30,1,dc32f1d2bletest0,,-75.5,2,,1679627115000
113390,fedc20de,2023/03/24 11:04:31,1,dc32f1d2bletest0,,-77.0,3,,1679627115000
113391,fedc20de,2023/03/24 11:04:32,1,dc32f1d2bletest0,,-74.0,2,,1679627115000
113393,fedc20de,2023/03/24 11:04:35,1,dc32f1d2bletest0,,-75.0,2,,1679627115000
113397,fedc20de,2023/03/24 11:04:36,1,dc32f1d2bletest0,,-80.0,3,,1679627115000
113403,fedc20de,2023/03/24 11:04:37,1,dc32f1d2bletest0,,-75.0,2,,1679627115000
113405,fedc20de,2023/03/24 11:04:38,1,dc32f1d2bletest0,,-83.0,3,,1679627115000
113407,fedc20de,2023/03/24 11:04:39,1,dc32f1d2bletest0,,-67.0,2,,1679627115000
113411,fedc20de,2023/03/24 11:04:41,1,dc32f1d2bletest0,,-64.0,1,,1679627115000
113412,fedc20de,2023/03/24 11:04:42,1,dc32f1d2bletest0,,-63.0,1,,1679627115000
113415,fedc20de,2023/03/24 11:04:43,1,dc32f1d2bletest0,,-73.5,2,,1679627115000
113499,fedc20de,2023/03/24 11:05:19,1,dc32f1d2bletest0,,-70.0,2,,1679627215000
113503,fedc20de,2023/03/24 11:05:20,1,dc32f1d2bletest0,,-67.33333333333333,2,,1679627215000
113505,fedc20de,2023/03/24 11:05:21,1,dc32f1d2bletest0,,-66.75,2,,1679627215000
113509,fedc20de,2023/03/24 11:05:23,1,dc32f1d2bletest0,,-65.5,2,,1679627215000
113511,fedc20de,2023/03/24 11:05:24,1,dc32f1d2bletest0,,-63.25,1,,1679627215000
113513,fedc20de,2023/03/24 11:05:25,1,dc32f1d2bletest0,,-70.25,2,,1679627215000
113515,fedc20de,2023/03/24 11:05:26,1,dc32f1d2bletest0,,-61.66666666666666,1,,1679627215000
113523,fedc20de,2023/03/24 11:05:27,1,dc32f1d2bletest0,,-72.0,2,,1679627215000
113527,fedc20de,2023/03/24 11:05:28,1,dc32f1d2bletest0,,-54.5,1,,1679627215000
113533,fedc20de,2023/03/24 11:05:29,1,dc32f1d2bletest0,,-58.5,1,,1679627215000
113539,fedc20de,2023/03/24 11:05:30,1,dc32f1d2bletest0,,-69.33333333333333,2,,1679627215000
113549,fedc20de,2023/03/24 11:05:31,1,dc32f1d2bletest0,,-70.0,2,,1679627215000
113551,fedc20de,2023/03/24 11:05:32,1,dc32f1d2bletest0,,-70.6,2,,1679627215000
113561,fedc20de,2023/03/24 11:05:34,1,dc32f1d2bletest0,,-69.25,2,,1679627215000
113567,fedc20de,2023/03/24 11:05:35,1,dc32f1d2bletest0,,-73.5,2,,1679627215000
113569,fedc20de,2023/03/24 11:05:36,1,dc32f1d2bletest0,,-70.0,2,,1679627215000
113497,fedc20de,2023/03/24 11:06:05,1,dc32f1d2bletest0,,-66.8,2,,1679627215000
113498,fedc20de,2023/03/24 11:06:07,1,dc32f1d2bletest0,,-66.625,2,,1679627215000
113500,fedc20de,2023/03/24 11:06:08,1,dc32f1d2bletest0,,-61.0,1,,1679627215000
113502,fedc20de,2023/03/24 11:06:09,1,dc32f1d2bletest0,,-65.0,1,,1679627215000
113504,fedc20de,2023/03/24 11:06:10,1,dc32f1d2bletest0,,-63.22222222222222,1,,1679627215000
113506,fedc20de,2023/03/24 11:06:11,1,dc32f1d2bletest0,,-78.33333333333333,3,,1679627215000
113510,fedc20de,2023/03/24 11:06:12,1,dc32f1d2bletest0,,-67.0,2,,1679627215000
113514,fedc20de,2023/03/24 11:06:13,1,dc32f1d2bletest0,,-67.33333333333333,2,,1679627215000
113522,fedc20de,2023/03/24 11:06:14,1,dc32f1d2bletest0,,-65.0,1,,1679627215000
113524,fedc20de,2023/03/24 11:06:15,1,dc32f1d2bletest0,,-63.833333333333336,1,,1679627215000
113530,fedc20de,2023/03/24 11:06:16,1,dc32f1d2bletest0,,-60.4,1,,1679627215000
113534,fedc20de,2023/03/24 11:06:17,1,dc32f1d2bletest0,,-57.66666666666666,1,,1679627215000
113540,fedc20de,2023/03/24 11:06:18,1,dc32f1d2bletest0,,-56.5,1,,1679627215000
113544,fedc20de,2023/03/24 11:06:19,1,dc32f1d2bletest0,,-64.5,1,,1679627215000
113552,fedc20de,2023/03/24 11:06:20,1,dc32f1d2bletest0,,-61.8,1,,1679627215000
113558,fedc20de,2023/03/24 11:06:21,1,dc32f1d2bletest0,,-62.0,1,,1679627215000
113560,fedc20de,2023/03/24 11:06:22,1,dc32f1d2bletest0,,-62.66666666666666,1,,1679627215000
113564,fedc20de,2023/03/24 11:06:23,1,dc32f1d2bletest0,,-63.25,1,,1679627215000
113655,fedc20de,2023/03/24 11:06:59,1,dc32f1d2bletest0,,-62.8,1,,1679627323000
113659,fedc20de,2023/03/24 11:07:00,1,dc32f1d2bletest0,,-60.16666666666666,1,,1679627323000
113661,fedc20de,2023/03/24 11:07:01,1,dc32f1d2bletest0,,-70.5,2,,1679627323000
113669,fedc20de,2023/03/24 11:07:02,1,dc32f1d2bletest0,,-67.25,2,,1679627323000
113671,fedc20de,2023/03/24 11:07:03,1,dc32f1d2bletest0,,-75.83333333333333,2,,1679627323000
113675,fedc20de,2023/03/24 11:07:04,1,dc32f1d2bletest0,,-69.66666666666667,2,,1679627323000
113679,fedc20de,2023/03/24 11:07:05,1,dc32f1d2bletest0,,-69.6,2,,1679627323000
113683,fedc20de,2023/03/24 11:07:06,1,dc32f1d2bletest0,,-81.33333333333333,3,,1679627323000
113687,fedc20de,2023/03/24 11:07:07,1,dc32f1d2bletest0,,-62.57142857142857,1,,1679627323000
113691,fedc20de,2023/03/24 11:07:08,1,dc32f1d2bletest0,,-71.33333333333333,2,,1679627323000
113695,fedc20de,2023/03/24 11:07:09,1,dc32f1d2bletest0,,-72.5,2,,1679627323000
113698,fedc20de,2023/03/24 11:07:10,1,dc32f1d2bletest0,,-67.5,2,,1679627323000
113700,fedc20de,2023/03/24 11:07:11,1,dc32f1d2bletest0,,-59.0,1,,1679627323000
113701,fedc20de,2023/03/24 11:07:12,1,dc32f1d2bletest0,,-67.0,2,,1679627323000
113702,fedc20de,2023/03/24 11:07:13,1,dc32f1d2bletest0,,-61.75,1,,1679627323000
113703,fedc20de,2023/03/24 11:07:14,1,dc32f1d2bletest0,,-72.75,2,,1679627323000
113704,fedc20de,2023/03/24 11:07:15,1,dc32f1d2bletest0,,-62.6,1,,1679627323000
113705,fedc20de,2023/03/24 11:07:16,1,dc32f1d2bletest0,,-71.66666666666667,2,,1679627323000
113706,fedc20de,2023/03/24 11:07:17,1,dc32f1d2bletest0,,-66.33333333333333,2,,1679627323000
113656,fedc20de,2023/03/24 11:07:51,1,dc32f1d2bletest0,,-57.333333333333336,1,,1679627323000
113658,fedc20de,2023/03/24 11:07:52,1,dc32f1d2bletest0,,-59.0,1,,1679627323000
113660,fedc20de,2023/03/24 11:07:53,1,dc32f1d2bletest0,,-61.55555555555556,1,,1679627323000
113662,fedc20de,2023/03/24 11:07:54,1,dc32f1d2bletest0,,-61.0,1,,1679627323000
113666,fedc20de,2023/03/24 11:07:55,1,dc32f1d2bletest0,,-69.0,2,,1679627323000
113670,fedc20de,2023/03/24 11:07:56,1,dc32f1d2bletest0,,-54.4,1,,1679627323000
113674,fedc20de,2023/03/24 11:07:57,1,dc32f1d2bletest0,,-62.66666666666666,1,,1679627323000
113676,fedc20de,2023/03/24 11:07:58,1,dc32f1d2bletest0,,-59.16666666666666,1,,1679627323000
113680,fedc20de,2023/03/24 11:07:59,1,dc32f1d2bletest0,,-53.5,1,,1679627323000
113682,fedc20de,2023/03/24 11:08:00,1,dc32f1d2bletest0,,-59.0,1,,1679627323000
113684,fedc20de,2023/03/24 11:08:01,1,dc32f1d2bletest0,,-61.333333333333336,1,,1679627323000
113686,fedc20de,2023/03/24 11:08:02,1,dc32f1d2bletest0,,-69.92307692307692,2,,1679627323000
113688,fedc20de,2023/03/24 11:08:03,1,dc32f1d2bletest0,,-60.57142857142857,1,,1679627323000
